building_a_index,building_b_index,building_b_row_number,distance_km,a_Adresse,a_oadr_strasseasse,a_oadr_plz,a_oadr_ortsteil,a_oadr_ort,a_objekttyp,a_objekttyp_fein,a_flaeche,a_baujahr,a_etagen,a_aus_klassen,a_aus_heiz_befeuerung,a_aus_heiz_system,a_zust_klassen,a_zust_modernisierungsjahr,a_energie_bedarf,a_energie_verbr_kennwert,a_lat,"a_long
",a_lon,b_id,b_position,a_baujahr,b_construction_year,b_size_class,b_refurbishment_state,b_tabula_type,b_latitude,b_longitude
184,2699637,2720419,0.00034372,"Karl-Boehm-strasse. 112,85598,Vaterstetten,Bayern,Deutschland",Karl-Boehm-strasse. 112,85598,Baldham,Vaterstetten,Wohnung,1-Z-Whg,"38,08",2006,3,hochwertig,Gas,Zentral,normal,,70,,48.1007568,"11,78861763
",11.78861763,DE2_DEBY_LOD2_5567577,POINT(4454268.44804792 2777967.887320733),2006,2006,MFH,2,DE.N.MFH.10.Gen.ReEx.001.002,48.10075372,11.78861718
191,2494190,2496204,0.000325008,"Connollystrasse. 20,80809,München,Bayern,Deutschland",Connollystrasse. 20,80809,Olympiazentrum,München,Wohnung,4-Z-Whg,112,1971,10,normal,,Zentral,gut,,130,,48.1800938,"11,54941864
",11.54941864,DE2_DEBY_LOD2_4867044,POINT(4436268.596448591 2786381.5147435763),1971,1976,AB,1,DE.N.AB.06.Gen.ReEx.001.001,48.18009485,11.54941455
342,2316629,2329882,0.0002954,"St.-Benedikt-strasse. 3,85716,Unterschleißheim,Bayern,Deutschland",St.-Benedikt-strasse. 3,85716,,Unterschleißheim,Wohnung,3-Z-Whg,"85,51",1972,7,normal,,Zentral,gut,2018,,"146,9",48.2756692,"11,571197
",11.571197,DE2_DEBY_LOD2_4968561,POINT(4437668.232159021 2797035.9327074606),1972,1977,AB,2,DE.N.AB.06.Gen.ReEx.001.002,48.27566696,11.57119485
375,3224767,3228457,0.000881731,"Lindenweg 19b,83088,Kiefersfelden,Bayern,Deutschland",Lindenweg 19b,83088,,Kiefersfelden,Wohnung,1-Z-Whg,"84,7",1982,,gut,Öl,Zentral,normal,,,"99,7",47.6105151,"12,1881227
",12.1881227,DE2_DEBY_LOD2_6586552,POINT(4485594.837426253 2724310.395625205),1982,1981,MFH,1,DE.N.MFH.07.Gen.ReEx.001.001,47.61050892,12.18813006
1336,2522318,2551702,0.0009924,"Fritz-Meyer-Weg 3d,81925,München,Bayern,Deutschland",Fritz-Meyer-Weg 3d,81925,Oberföhring,München,Wohnung,1-Z-Whg,"34,5",2005,3,normal,,Zentral,gut,,,"71,9",48.1698569,"11,6329376
",11.6329376,DE2_DEBY_LOD2_5146612,POINT(4442505.825705269 2785376.7741898648),2005,2007,MFH,2,DE.N.MFH.10.Gen.ReEx.001.002,48.16984804,11.63293923
1712,2650543,2678827,0.000552711,"Marianne-Plehnstrasse. 10,81825,München,Bayern,Deutschland",Marianne-Plehnstrasse. 10,81825,Michaeliburg,München,Wohnung,2-Z-Whg,50,2008,5,hochwertig,Gas,Zentral,normal,,,"90,3",48.1186375,"11,65674692
",11.65674692,DE2_DEBY_LOD2_5231738,POINT(4444400.970315788 2779726.2313795914),2008,2006,MFH,2,DE.N.MFH.10.Gen.ReEx.001.002,48.1186404,11.65674087
1736,2426696,2440098,0.000920218,"Riemerschmidstrasse. 59,80933,München,Bayern,Deutschland",Riemerschmidstrasse. 59,80933,Hasenbergl,München,Wohnung,3-Z-Whg,72,1962,,normal,,,normal,,,,48.2129208,"11,5515225
",11.5515225,DE2_DEBY_LOD2_4870352,POINT(4436351.426266407 2790031.9619154697),1962,1966,AB,2,DE.N.AB.05.Gen.ReEx.001.002,48.21291612,11.55153274
2087,2701102,2722451,0.000620477,"Pentenriederstrasse. 42,82152,Krailling,Bayern,Deutschland",Pentenriederstrasse. 42,82152,,Krailling,Wohnung,3-Z-Whg,83,1970,,gut,Gas,Zentral,normal,,,,48.09988345,"11,4024759
",11.4024759,DE2_DEBY_LOD2_107552595,POINT(4425503.8324087225 2777250.412425502),1970,1973,MFH,1,DE.N.MFH.06.Gen.ReEx.001.001,48.0998888,11.40247828
2656,2287271,2298490,0.00019055,"Haendelweg 4,86179,Augsburg,Bayern,Deutschland",Haendelweg 4,86179,Haunstetten-Süd,Augsburg,Wohnung,4+-Z-Whg,135,1980,5,hochwertig,Gas,Zentral,gut,2011,,,48.29725605,"10,89417261
",10.89417261,DE2_DEBY_LOD2_2555597,POINT(4387371.700937875 2798596.1430905815),1980,1982,AB,2,DE.N.AB.07.Gen.ReEx.001.002,48.29725726,10.89417079
2823,2630764,2656155,0.000982109,"Siegenburger strasse. 31a,81373,München,Bayern,Deutschland",Siegenburger strasse. 31a,81373,Westpark (Ostteil),München,Wohnung,2-Z-Whg,56,1991,3,gut,,,schlecht,,,819,48.1268013,"11,53241633
",11.53241633,DE2_DEBY_LOD2_4825418,POINT(4435124.97460817 2780433.369354945),1991,1992,MFH,1,DE.N.MFH.08.Gen.ReEx.001.001,48.12680287,11.53242935
2974,2214499,2228506,0.000684297,"Spiesleweg 2a,86199,Augsburg,Bayern,Deutschland",Spiesleweg 2a,86199,Göggingen-Nordwest,Augsburg,Wohnung,3-Z-Whg,77,2006,,gut,Gas,,normal,,,,48.3476295,"10,8750123
",10.8750123,DE2_DEBY_LOD2_2469447,POINT(4385884.32831033 2804177.182245906),2006,2005,MFH,1,DE.N.MFH.10.Gen.ReEx.001.001,48.34762656,10.87500417
3053,2430853,2447643,0.000191137,"Golddistelanger 19,80937,München,Bayern,Deutschland",Golddistelanger 19,80937,Hartelholz und Panzerwiese,München,Wohnung,3-Z-Whg,78,2004,2,normal,,Zentral,gut,,,,48.2108404,"11,5651079
",11.5651079,DE2_DEBY_LOD2_4914341,POINT(4437365.116845744 2789822.6814282173),2004,2003,MFH,1,DE.N.MFH.10.Gen.ReEx.001.001,48.21084116,11.56510558
3229,2202019,2220392,0.000797785,"Prinz-Karl-Weg 7,86159,Augsburg,Bayern,Deutschland",Prinz-Karl-Weg 7,86159,Hochfeld,Augsburg,Wohnung,4-Z-Whg,"108,56",2004,4,normal,,Zentral,normal,,,76,48.3539148,"10,8969152
",10.8969152,DE2_DEBY_LOD2_2562919,POINT(4387500.013855017 2804895.1921868157),2004,2004,MFH,1,DE.N.MFH.10.Gen.ReEx.001.001,48.35391148,10.89690563
3258,2375315,2381151,0.000690521,"Wirtsgasse 2,84453,Mühldorf a.Inn,Bayern,Deutschland",Wirtsgasse 2,84453,,Mühldorf a.Inn,Wohnung,3-Z-Whg,79,1997,4,normal,,,normal,,,,48.2462921,"12,49612922
",12.49612922,DE2_DEBY_LOD2_7040073,POINT(4506431.416404791 2795663.766116402),1997,1995,MFH,2,DE.N.MFH.09.Gen.ReEx.001.002,48.2462883,12.49612184
3275,2964555,2970985,0.000673058,"Kapellenstrasse. 3,83620,Feldkirchen-Westerham,Bayern,Deutschland",Kapellenstrasse. 3,83620,Westerham,Feldkirchen-Westerham,Wohnung,3-Z-Whg,"72,51",1972,3,normal,Gas,,normal,,,113,47.89732315,"11,82769575
",11.82769575,DE2_DEBY_LOD2_5653850,POINT(4457724.354539119 2755436.775030435),1972,1976,MFH,2,DE.N.MFH.06.Gen.ReEx.001.002,47.89731876,11.82770196
3335,2686575,2699957,0.000443758,"Jagdfeldring 70,85540,Haar,Bayern,Deutschland",Jagdfeldring 70,85540,,Haar,Wohnung,3-Z-Whg,86,1973,7,hochwertig,Gas,Zentral,gut,2016,,116,48.1061751,"11,726132
",11.726132,DE2_DEBY_LOD2_5409047,POINT(4449600.436041139 2778459.6028158106),1973,1970,AB,1,DE.N.AB.06.Gen.ReEx.001.001,48.10617575,11.7261379
3364,2524465,2553759,8.10492E-05,"Dachauerstrasse. 287,80637,München,Bayern,Deutschland",Dachauerstrasse. 287,80637,Westfriedhof,München,Wohnung,4-Z-Whg,95,1928,5,gut,,Zentral,normal,,,128,48.1690635,"11,53346731
",11.53346731,DE2_DEBY_LOD2_4829804,POINT(4435107.161440925 2785131.0039725318),1928,1928,MFH,2,DE.N.MFH.03.Gen.ReEx.001.002,48.16906405,11.53346659
